word,cluster
clear,415
cleavage,375
cleaver,238
clench,497
clever,220
cleverness,171
click,324
client,51
climax,264
climb,136
cling,365
clinic,345
clink,393
clip,482
clipboard,215
clock,220
close,45
closeness,118
closet,178
cloth,148
clothe,282
clothilde,145
clothing,330
cloud,20
club,50
cluck,393
clue,415
clump,71
clumsy,260
clung,178
clusburtson,511
clutch,346
clutched,149
coach,51
coat,330
coax,21
cock,264
cocktail,400
cocoon,223
coddle,13
code,141
coerce,138
cofee,208
coffee,400
coffin,43
coin,353
cola,182
collaborate,425
collapse,244
collar,156
collarbone,148
colleague,260
collect,182
collection,169
collide,26
collude,282
colonize,464
color,422
coloring,148
comatose,56
comb,134
combat,106
combing,418
come,465
comfort,196
comfortable,118
comforter,215
coming,465
command,95
commend,168
comment,497
commission,390
commit,346
commitment,397
commodity,30
commotion,482
communicate,205
communiqué,284
communist,461
companion,74
company,41
compare,459
compartment,61
compatriot,92
compel,464
compendium,150
compensate,43
compete,206
competence,397
compile,261
complain,260
complaint,1
complement,289
complete,61
complex,107
complexion,43
complexity,289
compliment,4
comply,12
compose,142
composure,43
comprehend,118
compromise,143
computer,461
comrade,188
conceal,75
concede,412
conceive,300
concentrate,18
concentration,75
concern,287
concerned,332
conciliatory,119
conclude,503
conclusion,375
concubine,417
concur,94
condition,107
confer,10
confess,311
confession,244
confide,210
confidence,171
confine,62
confirm,459
confound,283
confront,41
confrontation,32
confuse,383
confused,49
confusion,49
congratulate,310
congratulation,310
connect,205
connection,383
connoisseur,92
conquer,346
conscience,143
conscious,118
consciousness,32
consent,397
conserve,156
consider,257
consist,306
consolation,435
console,383
consolidate,459
constant,289
constipate,377
constitute,17
constitution,294
consult,74
consultant,108
consume,379
contact,386
contain,260
contemplate,109
contemporary,222
content,84
continue,379
contort,71
contract,390
contraction,367
contradict,282
contradiction,383
contribute,425
contribution,24
contrive,122
control,9
convalescence,430
convenience,280
conversation,383
converse,20
convert,142
convey,306
conviction,61
convince,346
conﬁde,151
conﬁdence,7
conﬁne,151
conﬁrme,151
coo,146
cook,182
cooking,382
cool,240
coolie,116
coolness,171
cooperate,269
cooperation,222
cop,166
cope,41
copper,392
copy,180
copybook,86
cordone,197
core,182
corner,221
correct,175
correspondence,19
