persona,cluster_id,word,weight
1,970,imagined,0.0987390428781509
1,977,income,0.0984404310584068
1,825,respond,0.0957969650626182
1,991,hits,0.0951978340744972
1,975,elbows,0.0926560759544372
1,871,claim,0.0919364094734191
1,917,swung,0.0889491885900497
1,805,marry,0.0825926810503006
1,879,ate,0.0824040994048118
1,649,needs,0.0803723186254501
1,931,meant,0.0789042189717292
1,951,sets,0.0744482278823852
1,887,drink,0.0732548460364341
1,924,clothes,0.0729868188500404
1,876,insisted,0.0709089040756225
1,942,eyebrows,0.0690121576189994
1,608,discussed,0.0671379268169403
1,968,books,0.0645054578781127
1,652,pass,0.0641375631093978
1,905,knees,0.0632907003164291
1,4,brings,0.0625093057751655
1,904,friend,0.0619454756379127
1,853,knocked,0.0604413896799087
1,249,filled,0.0596356578171253
1,819,begged,0.0587268099188804
1,859,gaze,0.0583397522568702
1,838,leaning,0.0580464079976081
1,908,seem,0.0572382882237434
1,446,worried,0.0569172874093055
1,784,cigarette,0.0563905090093612
2,990,end,0.2404888868331909
2,996,removed,0.2328525781631469
2,994,fingertips,0.1926898658275604
2,991,hits,0.157830536365509
2,979,hate,0.1336228996515274
2,945,woman,0.1219805851578712
2,998,coming,0.1112344861030578
2,925,coloring,0.109928086400032
2,957,collarbone,0.1074320152401924
2,853,knocked,0.0965910702943801
2,934,senior,0.0937991365790367
2,967,close,0.0918955206871032
2,978,drove,0.0890156850218772
2,993,entered,0.0867068916559219
2,641,paid,0.0851508155465126
2,768,run,0.0834363847970962
2,964,hurt,0.0833285003900528
2,975,wrists,0.0823809802532196
2,972,interest,0.0771514922380447
2,956,understood,0.0747029259800911
2,819,begged,0.0633481293916702
2,830,guided,0.0624218732118606
2,713,sitting,0.0620165280997753
2,868,remained,0.0599105469882488
2,965,pale,0.0596962608397007
2,984,better,0.0574152171611785
2,936,dump,0.0571682974696159
2,896,broke,0.0558075159788131
2,627,son,0.0550675243139267
2,989,forget,0.0545312762260437
2,588,dressed,0.0525653660297393
2,941,sister,0.0525593385100364
2,954,skills,0.0518993511795997
2,155,alarmed,0.0484876930713653
2,963,failed,0.0479394681751728
2,80,burdened,0.0439558960497379
2,883,deal,0.0431669130921363
2,949,treated,0.0430209524929523
2,902,picture,0.0425539016723632
2,862,consumed,0.0418215841054916
2,649,needs,0.0405459366738796
2,871,claim,0.0397368147969245
2,708,meet,0.0378797762095928
2,920,putting,0.037546269595623
2,968,clothing,0.0373405367136001
2,903,money,0.0368303060531616
2,831,listed,0.0363525748252868
2,970,imagined,0.0355513095855712
2,707,faint,0.0354256629943847
2,888,chosen,0.0337513014674186
3,988,tutor,0.5503195524215698
3,990,end,0.4787847995758056
3,995,crying,0.4347268640995025
3,933,asks,0.3610139489173889
3,964,hurt,0.2874498963356018
3,976,involved,0.2381504625082016
3,965,pale,0.2342875599861145
3,936,express,0.2106178402900695
3,907,breathing,0.2079273015260696
3,652,pass,0.2049173414707183
3,984,lucky,0.1953468024730682
3,972,interest,0.1884242594242096
3,649,needs,0.1850293278694152
3,929,kisses,0.1844352185726165
3,993,entered,0.1692253798246383
3,819,begged,0.1622657775878906
3,932,waiting,0.1607910841703415
3,975,elbow,0.1571868360042572
3,957,collarbone,0.1558849513530731
3,954,anger,0.1557634472846985
3,906,pay,0.1445942521095276
3,871,exchange,0.1400813907384872
3,896,broke,0.1392869502305984
3,925,stove,0.1390702128410339
3,940,stare,0.1342076957225799
3,952,fear,0.1341071724891662
3,961,sweep,0.1315153390169143
3,802,brother,0.1311534345149994
3,982,mouths,0.1248778998851776
3,968,clothing,0.121544562280178
3,979,hate,0.1213066279888153
3,956,understood,0.119453027844429
3,970,imagined,0.1174331903457641
3,966,able,0.1168210580945015
3,912,collects,0.1149912327527999
3,944,surrounded,0.1126890555024147
3,516,answers,0.1103237867355346
3,947,owe,0.1065224334597587
3,909,defloration,0.1034286320209503
3,883,deal,0.0994935855269432
3,908,seem,0.0980982929468154
3,859,gaze,0.0963936150074005
3,989,forget,0.0961425453424453
3,734,distress,0.0959454625844955
3,928,point,0.095922403037548
3,744,betrayed,0.0952308177947998
3,709,play,0.0940678566694259
3,980,bear,0.0845397114753723
3,998,coming,0.0837206467986106
3,991,hits,0.0790587291121482
