n_personas,persona,role,word,weight
12,9,patient,chase,0.0073496816
12,10,patient,make,0.009294726
12,11,patient,forbid,0.02133305
12,11,patient,use,0.020378737
12,11,patient,ﬁnd,0.0141529385
12,11,patient,control,0.008312616
12,0,possessive,suitcase,0.10491568
12,1,possessive,cigarette,0.093105085
12,2,possessive,future,0.07127796
12,4,possessive,fate,0.07424099
12,5,possessive,blood,0.058713168
12,5,possessive,qipao,0.04916711
12,6,possessive,murder,0.10303052
12,6,possessive,self,0.075470336
12,7,possessive,position,0.06483025
12,8,possessive,gown,0.09629738
12,9,possessive,cane,0.06613204
12,9,possessive,bunk,0.05113715
12,11,possessive,bowl,0.076905884
12,11,possessive,fault,0.06268018
12,0,predicative,thin,0.009042415
12,2,predicative,brother,0.011847422
12,2,predicative,clear,0.007946198
12,4,predicative,calm,0.01801296
12,4,predicative,object,0.006376033
12,6,predicative,thirsty,0.0019088344
12,6,predicative,important,0.00035441024
12,6,predicative,cool,0.0003465691
12,11,predicative,welcome,0.014128897
12,11,predicative,star,0.00054510485
13,2,agent,enter,0.015940603
13,4,agent,leaving,0.0075492687
13,6,agent,die,0.0052638142
13,6,agent,glance,0.0010039735
13,7,agent,living,0.011789404
13,8,agent,write,0.0038083436
13,9,agent,shake,0.026231213
13,10,agent,show,0.009360272
13,12,agent,promise,0.034441054
13,12,agent,feeling,0.01810691
13,12,agent,making,0.014542659
13,0,patient,press,0.011965789
13,1,patient,enter,0.014552193
13,2,patient,fit,0.015576555
13,3,patient,wake,0.02726053
13,3,patient,spare,0.018145949
13,3,patient,thinking,0.0075693354
13,3,patient,rouse,0.0074074673
13,4,patient,drop,0.020842914
13,4,patient,adopt,0.01312465
13,5,patient,scold,0.037219327
13,5,patient,fetch,0.02341663
13,5,patient,saving,0.016329763
13,6,patient,draw,0.011519029
13,8,patient,fool,0.014747709
13,10,patient,shot,0.032510005
13,10,patient,chase,0.011498571
13,10,patient,surrounding,0.0072895917
13,11,patient,walk,0.01207267
13,12,patient,affect,0.01759167
13,12,patient,scare,0.010577649
13,0,possessive,spirit,0.05031753
13,1,possessive,career,0.09693993
13,2,possessive,gate,0.07310733
13,3,possessive,maid,0.067482606
13,3,possessive,ﬁnger,0.053044952
13,4,possessive,fate,0.061060257
13,5,possessive,plate,0.0654425
13,12,possessive,letter,0.06922226
13,12,possessive,best,0.056841467
13,12,possessive,breast,0.052012037
