character_id,role,word,freq
0,possessive,fingers,2
0,possessive,flapping,1
0,possessive,glass,1
0,possessive,hand,1
0,possessive,home,2
0,possessive,husband,4
0,possessive,interviews,1
0,possessive,knowledge,1
0,possessive,level,1
0,possessive,life,2
0,possessive,loneliness,1
0,possessive,man,1
0,possessive,marriage,1
0,possessive,murder,2
0,possessive,name,1
0,possessive,number,1
0,possessive,office,1
0,possessive,pack,1
0,possessive,part,1
0,possessive,picture,1
0,possessive,position,2
0,possessive,problems,1
0,possessive,radiating,1
0,possessive,reaction,2
0,possessive,record,6
0,possessive,records,2
0,possessive,relationship,3
0,possessive,reputation,1
0,possessive,room,1
0,possessive,shadow,1
0,possessive,shoulders,1
0,possessive,show,5
0,possessive,son,1
0,possessive,spoon,1
0,possessive,talk,1
0,possessive,teeth,1
0,possessive,transcripts,1
0,possessive,voice,2
0,possessive,work,2
0,possessive,wrist,1
0,predicative,anchorwoman,1
0,predicative,announcer,1
0,predicative,busy,1
0,predicative,innocent,1
0,predicative,nice,2
0,predicative,sharp,1
0,predicative,woman,1
1,agent,allowed,1
1,agent,answer,1
1,agent,awoke,1
1,agent,believed,3
1,agent,blame,1
1,agent,braced,1
1,agent,briefed,1
1,agent,call,1
1,agent,called,2
1,agent,came,1
1,agent,checked,1
1,agent,clapped,1
1,agent,come,1
1,agent,copied,1
1,agent,cut,1
1,agent,decided,2
1,agent,did,2
1,agent,discuss,1
1,agent,doing,1
1,agent,done,1
1,agent,expected,2
1,agent,experienced,1
1,agent,explain,1
1,agent,failed,1
1,agent,feigned,1
1,agent,felt,2
1,agent,followed,1
1,agent,found,1
1,agent,frowning,1
1,agent,gave,3
1,agent,go,1
1,agent,going,2
1,agent,got,2
1,agent,had,7
1,agent,have,3
1,agent,headed,1
1,agent,heard,3
1,agent,help,1
1,agent,hung,1
1,agent,incomprehensible,1
1,agent,interpret,1
1,agent,join,1
1,agent,keep,1
1,agent,keyed,1
1,agent,kicked,1
1,agent,knew,2
1,agent,know,3
1,agent,leaned,1
1,agent,like,2
1,agent,liked,1
1,agent,looked,2
1,agent,looking,1
1,agent,looks,1
1,agent,made,5
1,agent,make,1
1,agent,moved,1
1,agent,need,3
1,agent,nodded,1
1,agent,opened,1
1,agent,paced,1
1,agent,picked,1
1,agent,printed,1
1,agent,proposed,1
1,agent,put,2
1,agent,read,2
1,agent,recognized,1
1,agent,remember,1
1,agent,remembered,1
1,agent,repeated,1
1,agent,rubbed,2
1,agent,said,16
1,agent,sank,1
1,agent,sat,2
1,agent,saw,2
1,agent,see,1
1,agent,shopping,1
1,agent,shuddered,2
1,agent,slowed,2
1,agent,slumped,1
1,agent,smiled,2
1,agent,sounded,1
1,agent,stands,1
1,agent,started,3
1,agent,stay,1
1,agent,stayed,2
1,agent,stood,2
1,agent,strained,1
1,agent,studying,1
1,agent,stumbled,1
1,agent,suggested,3
1,agent,supposed,1
1,agent,take,1
1,agent,taken,1
1,agent,talked,1
1,agent,think,2
1,agent,tied,1
1,agent,told,5
1,agent,took,2
1,agent,translated,2
1,agent,tried,2
1,agent,turned,3
1,agent,waited,1
1,agent,waits,1
1,agent,walked,2
