Character id,Persona Prob Vec
127,"0.091323,0.090829,0.090762,0.090470,0.090697,0.091109,0.091645,0.090865,0.090709,0.091278,0.090312"
128,"0.092138,0.091002,0.090533,0.091436,0.091141,0.091134,0.091611,0.089368,0.091339,0.090272,0.090025"
129,"0.090456,0.091164,0.090942,0.091556,0.091861,0.091921,0.090982,0.088736,0.092891,0.090107,0.089384"
130,"0.091757,0.090649,0.091022,0.091941,0.092339,0.090591,0.091746,0.088598,0.091635,0.089865,0.089858"
131,"0.092135,0.091318,0.090640,0.090907,0.090126,0.091683,0.090687,0.090792,0.091603,0.089771,0.090339"
132,"0.092854,0.092238,0.090756,0.090206,0.090588,0.092404,0.091243,0.089350,0.091064,0.088357,0.090938"
133,"0.091362,0.091125,0.090831,0.091962,0.091773,0.091484,0.091664,0.088046,0.091608,0.090221,0.089922"
134,"0.092177,0.091176,0.090753,0.090910,0.091089,0.091457,0.091208,0.090103,0.090758,0.090317,0.090052"
135,"0.092657,0.091213,0.090368,0.091000,0.091116,0.091467,0.090737,0.090500,0.091113,0.089741,0.090089"
136,"0.091199,0.091700,0.090675,0.091329,0.091263,0.090724,0.091605,0.088666,0.091573,0.090532,0.090733"
137,"0.092267,0.092003,0.090584,0.091613,0.091775,0.090551,0.090947,0.089027,0.091681,0.089380,0.090173"
138,"0.091702,0.091317,0.091191,0.091860,0.092867,0.091625,0.091597,0.087231,0.091520,0.089338,0.089752"
139,"0.091435,0.091269,0.091016,0.091211,0.090399,0.091595,0.090820,0.090605,0.091881,0.089464,0.090304"
140,"0.091247,0.091423,0.090335,0.091518,0.091964,0.091053,0.091853,0.088281,0.091772,0.089635,0.090919"
141,"0.092109,0.091595,0.090526,0.091489,0.091604,0.091599,0.090771,0.088874,0.092459,0.088837,0.090135"
142,"0.091373,0.092691,0.090465,0.090372,0.090927,0.091233,0.090520,0.090270,0.091270,0.089375,0.091506"
143,"0.092072,0.091461,0.091142,0.091162,0.091321,0.091352,0.091433,0.089104,0.091217,0.089693,0.090043"
144,"0.091795,0.091015,0.090352,0.091424,0.091927,0.091489,0.091729,0.088753,0.090858,0.090802,0.089856"
145,"0.091683,0.090658,0.090740,0.091325,0.091762,0.091185,0.091757,0.089048,0.091705,0.090591,0.089545"
146,"0.090073,0.091207,0.091620,0.091813,0.093637,0.090715,0.092137,0.087496,0.092276,0.089952,0.089075"
147,"0.091229,0.090433,0.091079,0.091293,0.091005,0.091650,0.091467,0.089398,0.092669,0.090197,0.089580"
148,"0.091969,0.090921,0.090601,0.091710,0.091879,0.091312,0.091829,0.088680,0.091061,0.090064,0.089976"
149,"0.091298,0.091009,0.090880,0.091604,0.092355,0.091561,0.091795,0.088160,0.091729,0.089761,0.089848"
150,"0.092002,0.091209,0.090416,0.091096,0.091281,0.091552,0.090936,0.089616,0.091959,0.089950,0.089984"
151,"0.090164,0.091422,0.090337,0.091810,0.092549,0.091103,0.092167,0.086913,0.091919,0.090647,0.090968"
152,"0.090969,0.091707,0.090774,0.091370,0.092030,0.091512,0.090354,0.089832,0.091663,0.089605,0.090185"
