Character id,Persona Prob Vec
A_Case_of_Two_Cities_203,"0.096331,0.096681,0.102296,0.099399,0.102988,0.099124,0.106035,0.098501,0.099237,0.099407"
A_Case_of_Two_Cities_207,"0.100270,0.101837,0.103658,0.103410,0.099615,0.102327,0.096965,0.091851,0.098798,0.101270"
A_Case_of_Two_Cities_2078,"0.092581,0.099204,0.102475,0.100990,0.102776,0.098074,0.110597,0.097672,0.093424,0.102206"
A_Case_of_Two_Cities_2099,"0.101467,0.104705,0.101359,0.104143,0.100409,0.104073,0.091092,0.092275,0.097728,0.102750"
A_Case_of_Two_Cities_210,"0.096416,0.097988,0.102378,0.096110,0.099285,0.096857,0.106825,0.101835,0.095207,0.107099"
A_Case_of_Two_Cities_2103,"0.094691,0.094085,0.102983,0.101426,0.105431,0.096006,0.114685,0.098848,0.096000,0.095846"
A_Case_of_Two_Cities_211,"0.098192,0.099142,0.101139,0.099571,0.101873,0.099322,0.101484,0.099504,0.099516,0.100256"
A_Case_of_Two_Cities_212,"0.092082,0.094688,0.103929,0.100831,0.106682,0.097395,0.114661,0.095185,0.096238,0.098309"
A_Case_of_Two_Cities_2146,"0.098310,0.100756,0.104803,0.105023,0.100977,0.103585,0.094682,0.090696,0.102109,0.099060"
A_Case_of_Two_Cities_2148,"0.072583,0.066703,0.106765,0.083845,0.128777,0.081626,0.211339,0.089437,0.080195,0.078730"
A_Case_of_Two_Cities_2151,"0.089514,0.092390,0.102768,0.100197,0.107515,0.095641,0.119087,0.101507,0.092902,0.098478"
A_Case_of_Two_Cities_2152,"0.089949,0.095412,0.105430,0.100198,0.104162,0.097220,0.112557,0.099033,0.093806,0.102231"
A_Case_of_Two_Cities_2153,"0.106676,0.109883,0.107086,0.111486,0.092364,0.113408,0.071684,0.086383,0.098498,0.102532"
A_Case_of_Two_Cities_2158,"0.099941,0.099558,0.099502,0.099874,0.101449,0.100526,0.099321,0.101152,0.098749,0.099929"
A_Case_of_Two_Cities_216,"0.098042,0.097881,0.100253,0.098815,0.102363,0.098019,0.105500,0.100529,0.098927,0.099671"
A_Case_of_Two_Cities_2161,"0.094146,0.093112,0.099517,0.099448,0.106050,0.097990,0.118609,0.098390,0.095313,0.097425"
A_Case_of_Two_Cities_2166,"0.096208,0.098828,0.101495,0.099409,0.102622,0.097740,0.108162,0.099665,0.095513,0.100358"
A_Case_of_Two_Cities_2167,"0.101152,0.100608,0.102190,0.104602,0.097164,0.103266,0.092422,0.099398,0.098328,0.100872"
A_Case_of_Two_Cities_217,"0.094133,0.100828,0.100585,0.100579,0.103834,0.098452,0.107041,0.099566,0.094490,0.100491"
A_Case_of_Two_Cities_2174,"0.097490,0.102694,0.101827,0.101448,0.099964,0.100056,0.099668,0.096088,0.098639,0.102126"
A_Case_of_Two_Cities_2179,"0.091946,0.093242,0.102843,0.099320,0.104489,0.096997,0.118704,0.098580,0.096432,0.097447"
A_Case_of_Two_Cities_2183,"0.104527,0.098180,0.102793,0.105574,0.106439,0.101601,0.087489,0.092964,0.097344,0.103088"
A_Case_of_Two_Cities_2189,"0.093310,0.092774,0.100644,0.100242,0.107434,0.097509,0.120376,0.097248,0.094347,0.096116"
A_Case_of_Two_Cities_219,"0.097672,0.095692,0.100220,0.098595,0.103640,0.097088,0.108705,0.100775,0.098937,0.098677"
A_Case_of_Two_Cities_2190,"0.092397,0.095983,0.101301,0.099616,0.105329,0.094989,0.114936,0.100076,0.095502,0.099870"
A_Case_of_Two_Cities_2191,"0.090463,0.095761,0.105372,0.100083,0.104981,0.092470,0.120146,0.098134,0.097332,0.095258"
A_Case_of_Two_Cities_2196,"0.096988,0.095604,0.101391,0.101538,0.101505,0.101216,0.107172,0.098020,0.094967,0.101598"
A_Case_of_Two_Cities_220,"0.096061,0.098192,0.102523,0.099705,0.101388,0.096475,0.107724,0.099829,0.098902,0.099201"
A_Case_of_Two_Cities_221,"0.097558,0.094572,0.100386,0.096623,0.104675,0.094489,0.115548,0.098973,0.097239,0.099937"
