word,cluster_id
nerves,522
wither,611
rarity,202
conﬁded,756
wheezed,205
enacted,469
vagueness,97
krapfen,731
imperious,585
giddy,43
contemplated,533
organ,977
attractive,518
tracing,460
explanation,239
skim,37
ileft,368
parks,74
ejaculated,421
entity,239
levels,624
chastise,715
lifting,460
dosed,727
ever-,434
approved,388
engulf,328
refurbished,40
jazzmen,483
variation,99
animal,57
talker,194
marvelled,824
humored,70
dodged,217
correct,259
council,697
shadowy,217
tying,441
stiffens,476
muscled,775
hawai'ians,790
harming,545
comp,810
lapse,97
call,561
podium,867
chores,117
gossips,344
fantasy,993
scriber,480
disqualified,259
quoted,123
joins,755
retrieved,495
hang,561
complexity,140
willpower,122
sex,216
cartwheel,704
rowed,598
pair,464
peaked,901
passion,216
leaders,231
dread,522
prayers,38
came,277
reorder,392
piercing,113
foggy,723
dummy,673
orchestra,99
persuades,645
shen,626
train,603
underwear,530
backhanded,457
whatever,14
brothel,170
peppering,131
id,672
gluten,750
flashlights,61
blundered,401
bids,96
vomits,801
dratted,843
criticized,848
"faltered-""it",577
unbuttons,784
mauser,731
withdrawing,930
dispatch,123
deflowering,535
pediatrician,430
romanticism,168
throne,736
out,998
asserting,829
pictures,255
spoil,663
accommodate,393
coveralls,506
poi,384
pistol,213
museums,170
pursuer,480
zoom,449
cardiologist,750
deserve,839
places,552
cradle,793
pigu,711
county,925
rides,170
kissin,263
eagled,118
homework,287
commandeering,437
receipts,738
recuperation,332
postponing,536
naivety,97
impatience,522
foot,296
progressed,501
twines,22
hufa,384
twigs,915
tradecraft,655
earbuds,86
harbored,513
mulched,66
tighten,905
undershirts,163
theatre,170
episode,954
crinkle,568
geishas,490
sobriety,330
lindsey,334
synapses,550
lead,441
practise,798
signing,501
hoisting,199
chastises,324
angling,252
classiﬁcations,712
recipient,312
tommy,334
vehement,547
burnt,9
aids,823
undertook,469
disarmed,288
enlist,96
residences,697
fooling,376
weighs,901
verified,429
absolving,623
meaning,672
beheld,722
corn,456
experimented,735
eraser,704
myth,241
retching,610
cunning,4
excellent,336
briefcases,806
conflicting,548
chain,481
dissatisfactions,91
peer,243
crafts,835
manager,26
cshesiefthini,77
agnosticism,233
hoisted,429
deduct,830
barking,612
housedress,472
fatten,64
scrolled,561
quotations,587
replicated,447
intestine,870
compacts,732
servants,922
remark,339
tita,249
mischief,96
seeds,228
snufed,121
impaled,258
force,369
critical,848
croaks,718
steers,29
tosses,918
instructs,182
multitalented,202
regarded,548
sticking,901
brutal,921
jie,668
compensated,429
tethering,199
stiﬀ,25
ﬂare,660
gathered,314
rascals,780
mare,937
deter,548
lifestyle,271
ramblings,344
sniped,751
best-ﬁguring,766
yiao,269
befell,554
misjudges,242
walk,998
kidnappers,439
grandnephew,639
moment,113
complexion,520
blinked,816
yogurt,304
confiscate,899
bonds,738
modulated,913
faction,504
stun,773
permission,14
sensitive,6
blundering,416
collaborator,954
summarized,123
bunker,786
plowing,90
frowns,144
breast,593
planned,747
membranes,206
forgave,138
ply,670
cooperating,131
fucking,186
receiving,501
spicier,982
riders,293
deign,500
loosed,956
session,278
attach,56
reflections,791
bandaged,66
choked,412
quarrelling,435
coordinated,113
muscles-,132
dawns,972
shops,248
sweetness,921
delicate,6
fixate,257
classic,772
eforts,890
jubilee,967
bookshelf,613
marrow,442
sent,18
ﬁerce,72
staﬀ,25
emergence,206
religion,373
conclusion,521
grafted,349
interpreting,835
fault,682
addict,548
doctorate,734
craved,79
widdout,500
nitpick,377
chrysanthemums,825
crispina,562
rehearsals,800
emptiness,522
amaze,232
candies,196
concerned,808
scorn,850
scooted,775
bustle,141
hesitation,14
fighter,214
arming,927
soup,621
rehearsal,795
butters,108
maia,626
endearing,263
retain,930
oversee,510
purposes,321
unease,287
inhalation,750
prorate,648
piping,532
forsee,346
castle,74
peruses,758
lipped,534
civilization,226
communicate,417
undulated,493
brigade,437
snorts,183
destiny,993
locking,832
honoring,808
hork,857
clariﬁed,212
riveted,191
caffeine,991
apologetic,333
exegesis,311
playmates,177
firing,481
boredom,442
pathetic,921
blunders,416
eddied,267
serene,415
settled,156
snoozed,730
flashy,266
checkbook,350
twosome,63
proofread,11
bikinis,163
hairdresser,342
perversity,600
wonders,993
unshaved,802
agitation,423
underestimate,114
overdramatic,992
nipples,593
griddles,29
bufers,16
volunteering,943
gouged,130
gentleman,518
ready,976
deal,846
hooted,857
tomatoes,876
rousing,164
confides,324
cross,859
clouded,9
tigress,95
melodramatic,879
croons,43
broaden,122
sons,462
mints,649
b-29s,805
principal,306
cranks,427
interchangeable,854
wallow,346
purchase,59
sideburns,166
qualifications,104
aghast,448
snapshot,613
wounds,445
spending,460
