char_key,author,book,m_idx,persona,char_id,best_name,gender,count,other_names
Dreams_of_Joy_4466,Lisa_See,Dreams_of_Joy,22,3,4466,Character_4466,None,23,
Dreams_of_Joy_4480,Lisa_See,Dreams_of_Joy,22,2,4480,Several of the other men,they/them/their,15,
Dreams_of_Joy_455,Lisa_See,Dreams_of_Joy,22,6,455,aunt,None,44,
Dreams_of_Joy_4553,Lisa_See,Dreams_of_Joy,22,2,4553,Character_4553,None,27,
Dreams_of_Joy_456,Lisa_See,Dreams_of_Joy,22,3,456,my dad,he/him/his,54,
Dreams_of_Joy_4563,Lisa_See,Dreams_of_Joy,22,3,4563,sweet one,None,23,
Dreams_of_Joy_4570,Lisa_See,Dreams_of_Joy,22,2,4570,Character_4570,None,16,
Dreams_of_Joy_4622,Lisa_See,Dreams_of_Joy,22,7,4622,Character_4622,None,14,
Dreams_of_Joy_4674,Lisa_See,Dreams_of_Joy,22,2,4674,Tao 's little brothers,they/them/their,15,
Dreams_of_Joy_482,Lisa_See,Dreams_of_Joy,22,1,482,everyone,they/them/their,122,
Dreams_of_Joy_4832,Lisa_See,Dreams_of_Joy,22,2,4832,Character_4832,they/them/their,19,
Dreams_of_Joy_491,Lisa_See,Dreams_of_Joy,22,5,491,my family,they/them/their,27,
Dreams_of_Joy_5093,Lisa_See,Dreams_of_Joy,22,1,5093,my baby,she/her,24,
Dreams_of_Joy_515,Lisa_See,Dreams_of_Joy,22,2,515,others,they/them/their,51,
Dreams_of_Joy_5211,Lisa_See,Dreams_of_Joy,22,1,5211,the baby,he/him/his,79,
Dreams_of_Joy_5328,Lisa_See,Dreams_of_Joy,22,6,5328,Character_5328,None,12,
Dreams_of_Joy_5385,Lisa_See,Dreams_of_Joy,22,1,5385,a low man,he/him/his,17,
Dreams_of_Joy_548,Lisa_See,Dreams_of_Joy,22,2,548,the people,they/them/their,57,
Dreams_of_Joy_557,Lisa_See,Dreams_of_Joy,22,3,557,my mom,she/her,117,
Dreams_of_Joy_564,Lisa_See,Dreams_of_Joy,22,1,564,the driver,he/him/his,28,
