book name,author
The Adventures of Ma Suzhen 'An Heroic Woman Takes Revenge in Shanghai',Unknown
"THE AZURE DRAGON, A NOVEL OF OLD SHANGHAI",Arthur Van Alstyne
The Beautiful Lady Was A Palace Eunuch,Beverley Jackson
"THE BINDING CHAIR or, A Visit from the Foot Emancipation Society",KATHRYN HARRISON
BITCOIN CLOWNS,VANN CHOW
THE BOOK OF SHANGHAI,Edited by Jin Li & Dai Congrong
The Chinese Yeren of Shanghai,Justin Tully
The Concubine of Shanghai,HONG YING
The Country Wedding,Barbara Hannay
"THE CROWD IN SHANGHAI, THE TRAVELER",Omar Tyree
The Dancing Girl & the Turtle,KAREN KAO
THE DARK HORSE OF SHANGHAI A Kip Duchene Novel,Kent W. Sorensen
THE DEVIL TO PAY,HAROLD ROBBINS AND JUNIUS PODRUG
The Distant Land of My Father,BO CALDWELL
THE DOOMSDAY CODE,SARA YAGER
THE ELEPHANTS OF SHANGHAI,Stephen Jared
The Eunuch of Shanghai,Lance Mason
THE EXPATS,A.J. GRIFFITHS-JONES
The FAR SIDE of the SKY,DANIEL KALLA
The Gambling Master of Shanghai and other tales of suspense,Joan Richter
The Garners of Shanghai,Cameo Archer
THE GIRL FROM SHANGHAI GHETTO,JOHNSON WU
"THE GREAT FIREWALL, A thriller",MICHAEL C. BOXALL
THE JADE DRAGON,GARRETT HUTSON
"THE JEWELED SERPENT OF SHANGHAI, CHINA",Benny Woodson
THE JOURNEY from SHANGHAI to GOLD MOUNTAIN; A Novel,HILARIE GOTTLIEB
THE KITCHEN GOD'S WIFE,AMY TAN
The Kungfu Master on the Roof,GRACE ZEN
The Last Bannerman,Alan Savage
THE LAST ROSE OF SHANGHAI,WEINA DAI RANDEL
THE LAST TRAIN,HOWARD TURK
THE LIBRARY OF LEGENDS; A Novel,JANIE CHANG
THE LIVES BEFORE US,Juliet Conlin
THE LONGING,ANN ROSE
THE LOST and FORGOTTEN LANGUAGES of SHANGHAI,RUIYAN XU
the LOST TORAH of SHANGHAI,Linda Frank
The Man I Met in Shanghai,N R Harvey
THE MAO CASE,QIU XIAOLONG
The Map of Lost Memories,KIM FAY
THE MIDAS DECEPTION、ULTRA CRITICAL BOOK THREE、A NOVEL,FRANKIE ALBRITTON
