book name,author
Lost Treasure of Shanghai,Kiara Loganathan
LOVE AND DEATH IN SHANGHAI,Elizabeth J. Hall
Love and Other Moods,Crystal Z. Lee
"Love, from Singapore to Shanghai",ALEX C
Lu Dong's story,Rossella Ricci
Lyla: Her Shanghai Mutation,LOUISE KRIEK、D. G. AMERICA
LYON'S MARTIAN MESSAGE,DAN COFFMAN
MAGNIFICENT LIE: A JEWISH INTRIGUE IN WARTIME CHINA,ROGER E. HERST
MAIDEN SHANGHAI,R.E. DINLOCKER
"Basket Shanghai, BOOK 1 • FLYING SOLO",G.G. LETTERMAN
BASKET SHANGHAI; BOOK 2; SOARING OVER INTERESTING TIMES,GG LETTERMAN
BASKET Shanghai; BOOK 3 • DEATHSPIRAL,G.G. MAN
MASQUERADE,MIKE FU
The MASTER of RAIN; A NOVEL OF SHANGHAI,TOM BRADBY
MEMOIRS OF A EURASIAN、俄滬妞傳,VIVIAN YANG、楊薇
Memories of China Part One,Joyce Vergien
MH370 TARGET SHANGHAI,Boris Nielsen
MISS JILL,Emily Hahn
MISSION: SHANGHAI,BUZZ HARCUS
MISSION SHANGHAI,HADI HASAN
MISSION: SHANGHAI,Jamie Dodson
MISTAKEN IDENTITY,CHLOE TZANG
MOKANSHAN,James H Irwin
MURDER IN THE MALOO,Unknown
My Favourite Wife,Tony Parsons
My Second First Husband,Darwin C Vickers-Owen
My Second First Husband Meets my Parents and Other Stories,Darwin C Vickers-Owen
My Shanghai Neighbours,Marcus Fedder
"My Shanghai, 1942-1946 A NOVEL",KEIKO ITOH
Mystery of the Chinese Ring,Andy Adams
NIGHT IN SHANGHAI,NICOLE MONES
NIGHT TIME IN SHANGHAI,ANDY ELLIS
NIGHTFALL OVER SHANGHAI,DANIEL KALLA
NIGHTFALL OVER SHANGHAI,DANIEL KALLA
NO ACCIDENTAL DEATH,GARRETT HUTSON
NVK,TEMPLE DRAKE
OLD FOREIGNER、老外、LAO WAI,RANDALL JOHNSON
One Night in SHANGHAI,Brynn Douglas
OUR ROOM,Harmen Kalman
PARIS CELESTIAL,A.Y. CHAO
Parkour Girl and Yellow Fish Car,Andy Best
parlour games,harmen kalman
"PATHS OF PLEASURE, Shanghai Dreams 2",HEROINE L. JACKSON
PEACH BLOSSOM PAVILION,MINGMEI YIP
PRIMORDIAL EARTH,BAILEIGH HIGGINS
THE QUEEN OF THE ORIENT; A Guide to 1930s Shanghai,Unknown
Quin's Shanghai Circus,Edward Whittemore
RABBIT MOON,JENNIFER HAIGH
REAPER REBORN,BRYAN DAVIS
"RED ASSCHER, Living in Fear",P. C. Chinick
Red Mandarin Dress,Qiu Xiaolong
RELIABLE IN SHANGHAI,Valerie Goldsilk & Julian Stagg
Rendezvous in SHANGHAI,Tom Condon
"Rising Sun, Falling Shadow",Daniel Kalla
ROCKET CROCKETT and the SHANGHAI SHE-DEVIL,Christopher Chambers
SCOPE,JAMES MUIR
SECRETS OF A MIND IN SHANGHAI,ZECA DE MEDEIROS
Sex and Love in Shanghai,Nikki Agatha
SHANGHAI,MICHAEL SANDUSKY
SHANGHAI,CHRISTOPHER NEW
SHANGHAI,BARTH JULES SUSSMAN
Shanghai,Alex Abella
Shanghai,DAVID ROTENBERG
SHANGHAI,Donald G. Moore
SHANGHAI 2040 A NOVEL,JEAN-LOUIS ROY
Shanghai Agent,Don Treichler
SHANGHAI BOY,STEVAN ELDRED-GRIGG
Shanghai CALLING,James Carrac
SHANGHAI CANDY,CHLOE TZANG
Shanghai Dancing,BRIAN CASTRO
"SHANGHAI DREAM, 上海梦","PHILIPPE THIRAULT, JORGE MIGUEL"
"حلم شنغهاي (阿拉伯语), 上海梦 (中文)","فيليب نيرو, جورج ميغويل"
SHANGHAI DREAM,Sahr Johnny
Shanghai Dreams,ANDREW WAREHAM
SHANGHAI DREAMS,ALEXA KANG
