n_personas,persona,role,rank,word,weight
15,1,agent,23,got,0.36330974102020264
15,1,agent,24,get,0.3630445599555969
15,1,agent,25,say,0.36187463998794556
15,1,agent,26,stood,0.3296653926372528
15,1,agent,27,go,0.32915157079696655
15,1,agent,28,tell,0.32553455233573914
15,1,agent,29,make,0.30160456895828247
15,1,agent,30,like,0.29415732622146606
15,1,agent,31,look,0.29078319668769836
15,1,agent,32,remember,0.2846181392669678
15,1,agent,33,understand,0.2756548225879669
15,1,agent,34,ask,0.2502381503582001
15,1,agent,35,need,0.24730342626571655
15,1,agent,36,help,0.24556918442249298
15,1,agent,37,take,0.241443932056427
15,1,agent,38,hear,0.2312554270029068
15,1,agent,39,spoke,0.23015281558036804
15,1,agent,40,read,0.21878695487976074
15,1,agent,41,love,0.191350057721138
15,1,agent,42,sitting,0.1852506399154663
15,1,agent,43,believe,0.18142171204090118
15,1,agent,44,mean,0.17866525053977966
15,1,agent,45,leave,0.17658451199531555
15,1,agent,46,arrived,0.16814221441745758
15,1,agent,47,give,0.15131059288978577
15,1,agent,48,doing,0.13496725261211395
15,1,agent,49,gone,0.1310756951570511
15,1,agent,50,find,0.13066205382347107
15,1,patient,1,see,0.7540774345397949
15,1,patient,2,tell,0.7475003004074097
15,1,patient,3,asked,0.684116005897522
15,1,patient,4,saw,0.5519662499427795
15,1,patient,5,take,0.5465354323387146
15,1,patient,6,help,0.4975895881652832
15,1,patient,7,thank,0.46780022978782654
15,1,patient,8,ask,0.4615318775177002
15,1,patient,9,left,0.4290681779384613
15,1,patient,10,put,0.4284973442554474
15,1,patient,11,know,0.41747766733169556
15,1,patient,12,find,0.41137200593948364
15,1,patient,13,get,0.38328102231025696
15,1,patient,14,love,0.37426260113716125
15,1,patient,15,keep,0.3288056552410126
15,1,patient,16,meet,0.3098306357860565
15,1,patient,17,call,0.3043364882469177
15,1,patient,18,leave,0.2836325168609619
15,1,patient,19,watching,0.2794238328933716
15,1,patient,20,bring,0.27369651198387146
15,1,patient,21,gone,0.24869221448898315
15,1,patient,22,hurt,0.23656973242759705
15,1,patient,23,married,0.2307296246290207
15,1,patient,24,stop,0.21030370891094208
15,1,patient,25,remind,0.20855240523815155
15,1,patient,26,asking,0.20671996474266052
15,1,patient,27,leaving,0.19818425178527832
15,1,patient,28,visit,0.19215787947177887
15,1,patient,29,join,0.18434500694274902
15,1,patient,30,kill,0.17176255583763123
15,1,patient,31,watch,0.157972514629364
15,1,patient,32,show,0.15770231187343597
15,1,patient,33,believe,0.15184077620506287
15,1,patient,34,teach,0.14789365231990814
15,1,patient,35,touch,0.13871410489082336
15,1,patient,36,force,0.13797242939472198
15,1,patient,37,send,0.13331831991672516
15,1,patient,38,kiss,0.13168936967849731
15,1,patient,39,remember,0.12770552933216095
15,1,patient,40,give,0.12366991490125656
15,1,patient,41,let,0.11785392463207245
15,1,patient,42,hold,0.11482935398817062
15,1,patient,43,pull,0.09943564981222153
15,1,patient,44,like,0.09311825037002563
15,1,patient,45,throw,0.09142093360424042
15,1,patient,46,marry,0.08382970839738846
15,1,patient,47,recognize,0.08223026990890503
15,1,patient,48,forgive,0.08199428021907806
15,1,patient,49,hear,0.08195552974939346
15,1,patient,50,got,0.07371731102466583
15,1,possessive,1,face,0.8624840974807739
15,1,possessive,2,head,0.8298848271369934
15,1,possessive,3,hand,0.774962842464447
15,1,possessive,4,mother,0.7322397828102112
15,1,possessive,5,voice,0.7033565044403076
15,1,possessive,6,life,0.6987999081611633
15,1,possessive,7,husband,0.6575010418891907
15,1,possessive,8,hair,0.6509284377098083
15,1,possessive,9,father,0.610359787940979
15,1,possessive,10,room,0.5919607877731323
15,1,possessive,11,body,0.5500003099441528
15,1,possessive,12,mind,0.5236193537712097
15,1,possessive,13,sister,0.5216534733772278
15,1,possessive,14,daughter,0.5078146457672119
15,1,possessive,15,mouth,0.495498389005661
15,1,possessive,16,way,0.48084837198257446
15,1,possessive,17,bed,0.45312681794166565
15,1,possessive,18,skin,0.4445487856864929
15,1,possessive,19,heart,0.43861913681030273
15,1,possessive,20,death,0.42784738540649414
15,1,possessive,21,family,0.42159023880958557
15,1,possessive,22,arm,0.40828728675842285
15,1,possessive,23,name,0.4008547365665436
15,1,possessive,24,throat,0.3883211314678192
15,1,possessive,25,own,0.3819037973880768
15,1,possessive,26,son,0.37931588292121887
15,1,possessive,27,neck,0.3790961503982544
15,1,possessive,28,shoulder,0.3713035583496094
15,1,possessive,29,aunt,0.37119197845458984
15,1,possessive,30,grandmother,0.3648824989795685
15,1,possessive,31,chest,0.3626551032066345
15,1,possessive,32,apartment,0.3481353521347046
15,1,possessive,33,back,0.34013766050338745
15,1,possessive,34,cheek,0.33667975664138794
15,1,possessive,35,uncle,0.3263086974620819
15,1,possessive,36,phone,0.3192980885505676
15,1,possessive,37,home,0.3168899416923523
15,1,possessive,38,brother,0.31547799706459045
15,1,possessive,39,friend,0.3131972849369049
15,1,possessive,40,stomach,0.30630335211753845
15,1,possessive,41,dress,0.30006855726242065
15,1,possessive,42,gaze,0.29029151797294617
15,1,possessive,43,nose,0.28658008575439453
15,1,possessive,44,mom,0.2801380455493927
15,1,possessive,45,side,0.2721298038959503
15,1,possessive,46,breath,0.27002662420272827
15,1,possessive,47,work,0.25571441650390625
15,1,possessive,48,forehead,0.24423089623451233
15,1,possessive,49,house,0.23477478325366974
15,1,possessive,50,smile,0.21987944841384888
15,1,predicative,1,sure,0.5709050297737122
15,1,predicative,2,girl,0.4800114035606384
15,1,predicative,3,right,0.4388866126537323
15,1,predicative,4,sorry,0.42842739820480347
15,1,predicative,5,afraid,0.42158791422843933
15,1,predicative,6,happy,0.393585205078125
15,1,predicative,7,old,0.35076093673706055
15,1,predicative,8,tired,0.3289085328578949
15,1,predicative,9,woman,0.3157319724559784
15,1,predicative,10,good,0.30778342485427856
15,1,predicative,11,aware,0.305124431848526
15,1,predicative,12,beautiful,0.30164748430252075
15,1,predicative,13,busy,0.2980676591396332
15,1,predicative,14,ready,0.26594847440719604
15,1,predicative,15,child,0.2515360116958618
15,1,predicative,16,asleep,0.24500635266304016
15,1,predicative,17,person,0.23917581140995026
15,1,predicative,18,angry,0.23112036287784576
15,1,predicative,19,dead,0.22348922491073608
15,1,predicative,20,sister,0.2100558876991272
15,1,predicative,21,lucky,0.20037712156772614
15,1,predicative,22,fine,0.19379401206970215
15,1,predicative,23,pregnant,0.17775531113147736
15,1,predicative,24,mother,0.1667049080133438
15,1,predicative,25,proud,0.15555693209171295
15,1,predicative,26,alone,0.13969384133815765
15,1,predicative,27,daughter,0.11932836472988129
15,1,predicative,28,free,0.11775234341621399
15,1,predicative,29,man,0.10702361166477203
15,1,predicative,30,hungry,0.10166005790233612
15,1,predicative,31,sick,0.09709420055150986
15,1,predicative,32,close,0.08534868061542511
15,1,predicative,33,nervous,0.07714709639549255
15,1,predicative,34,scared,0.06240188330411911
15,1,predicative,35,wrong,0.06182141974568367
