n_personas,persona,role,rank,word,weight
5,0,patient,47,want,0.18765844404697418
5,0,patient,48,remember,0.18333646655082703
5,0,patient,49,recognize,0.178317129611969
5,0,patient,50,watch,0.17731104791164398
5,0,possessive,1,mother,1.1765347719192505
5,0,possessive,2,head,1.0908550024032593
5,0,possessive,3,face,1.0457040071487427
5,0,possessive,4,hand,0.9888750314712524
5,0,possessive,5,father,0.9794150590896606
5,0,possessive,6,sister,0.9114071726799011
5,0,possessive,7,life,0.8907459378242493
5,0,possessive,8,hair,0.8544560670852661
5,0,possessive,9,husband,0.8530222773551941
5,0,possessive,10,room,0.8038520812988281
5,0,possessive,11,voice,0.7771093249320984
5,0,possessive,12,body,0.7747678756713867
5,0,possessive,13,mind,0.7439525723457336
5,0,possessive,14,daughter,0.7397419810295105
5,0,possessive,15,mouth,0.6887819766998291
5,0,possessive,16,heart,0.6696568727493286
5,0,possessive,17,family,0.6484664678573608
5,0,possessive,18,brother,0.6346974968910217
5,0,possessive,19,way,0.6190819144248962
5,0,possessive,20,son,0.6133548617362976
5,0,possessive,21,mom,0.610727071762085
5,0,possessive,22,uncle,0.6042624711990356
5,0,possessive,23,aunt,0.6002750396728516
5,0,possessive,24,arm,0.5943061113357544
5,0,possessive,25,grandmother,0.5734526515007019
5,0,possessive,26,dad,0.5707941651344299
5,0,possessive,27,name,0.5650591850280762
5,0,possessive,28,skin,0.5492042899131775
5,0,possessive,29,death,0.5188457369804382
5,0,possessive,30,own,0.5170620679855347
5,0,possessive,31,neck,0.5159561038017273
5,0,possessive,32,bed,0.5113739967346191
5,0,possessive,33,friend,0.4959859549999237
5,0,possessive,34,throat,0.4959646165370941
5,0,possessive,35,phone,0.4901677072048187
5,0,possessive,36,chest,0.4886358678340912
5,0,possessive,37,shoulder,0.47618764638900757
5,0,possessive,38,back,0.44045835733413696
5,0,possessive,39,cheek,0.4354563057422638
5,0,possessive,40,apartment,0.43052342534065247
5,0,possessive,41,stomach,0.4304814040660858
5,0,possessive,42,gaze,0.4275386333465576
5,0,possessive,43,nose,0.40068379044532776
5,0,possessive,44,home,0.3918343484401703
5,0,possessive,45,dress,0.3790092170238495
5,0,possessive,46,house,0.36203843355178833
5,0,possessive,47,side,0.3586246371269226
5,0,possessive,48,surprise,0.3580680191516876
5,0,possessive,49,forehead,0.35448363423347473
5,0,possessive,50,breath,0.35330623388290405
5,0,predicative,1,sure,0.9047943949699402
5,0,predicative,2,sorry,0.7465577125549316
5,0,predicative,3,afraid,0.656892716884613
5,0,predicative,4,happy,0.6525937914848328
5,0,predicative,5,girl,0.6279404759407043
5,0,predicative,6,right,0.5885041952133179
5,0,predicative,7,old,0.5559273958206177
5,0,predicative,8,tired,0.5511466860771179
5,0,predicative,9,ready,0.4883361756801605
5,0,predicative,10,woman,0.44863802194595337
5,0,predicative,11,aware,0.4126795828342438
5,0,predicative,12,good,0.40646040439605713
5,0,predicative,13,beautiful,0.3952217996120453
5,0,predicative,14,busy,0.3874031901359558
5,0,predicative,15,mother,0.3788653612136841
5,0,predicative,16,lucky,0.37468603253364563
5,0,predicative,17,child,0.3710319995880127
5,0,predicative,18,person,0.3635706901550293
5,0,predicative,19,angry,0.3579610288143158
5,0,predicative,20,dead,0.34441208839416504
