word,cluster_id
hurtle,126
imagining,36
include,107
increase,2
inspect,19
interlock,54
interrogate,10
jab,85
knot,66
launch,76
link,30
lope,17
lunge,33
lurch,5
mafan,30
manifest,30
marcelle,30
massage,54
mimic,62
misjudge,62
muster,107
narrow,21
nudge,31
oblige,107
obtain,45
outrun,71
pace,57
pad,54
peel,31
piece,76
pinch,20
piss,115
pitch,21
pivot,21
plant,76
plug,31
ponder,98
pop,20
pounce,31
prattle,44
pry,31
pump,31
puzzle,76
race,28
rake,31
rattle,31
realise,30
rearrange,10
reason,36
reassess,98
reassure,27
recognise,68
redden,41
refocus,100
register,30
rein,3
release,30
replay,67
resign,46
resort,76
round,21
ruin,20
savour,30
scent,74
scramble,57
scratch,20
scrunch,54
scrutinise,30
search,10
sheath,54
shimmer,80
shimmy,91
shred,20
shrug,62
shudder,83
sidestep,35
sift,10
signal,30
skirt,82
slam,33
slice,31
smirk,102
snarl,44
snatch,22
sneer,44
sneeze,20
snuggle,101
sparkle,80
spew,108
spit,41
spring,57
sprint,28
spy,76
squint,44
startle,16
stash,117
steady,21
stiffen,31
stifle,3
stomp,41
strain,120
stride,21
strum,37
submit,107
survey,110
swap,117
swat,33
sweep,71
swipe,44
tack,31
tarry,79
tear,31
tense,120
tip,31
top,21
topple,3
totter,5
trade,120
trip,40
tumble,2
twirl,91
twist,31
twitch,54
unclip,54
unsheathe,54
untangle,10
untwist,54
unwrap,121
visualise,54
wag,44
wager,119
wallow,98
waltz,91
weigh,19
wheeze,20
whimper,42
whistle,21
wrinkle,20
yank,31
invest,117
confront,10
loiter,55
howl,90
reduce,35
connect,7
dictate,62
exclude,72
miscarry,78
surprising,20
training,76
mail,30
aﬀord,30
barge,21
beep,54
bolt,31
breaking,57
cereal,99
chocolate,99
disappoint,68
feeding,81
fume,95
honor,76
implore,23
jumping,57
materialize,45
mess,20
misspoke,8
niang,32
nurture,25
oﬀer,30
pet,30
ram,31
record,21
refer,68
relate,62
sacriﬁce,30
scoop,31
setting,57
slink,9
slurp,24
smoke,125
stink,20
strangle,3
swinging,33
swoop,31
tempt,27
unhear,30
unknow,30
vomit,115
wanna,68
ﬁaunt,30
ﬁght,30
ﬁgure,54
ﬂed,30
ﬂinch,30
ﬂung,54
bore,120
rend,54
swam,70
ﬁnish,28
disguise,86
irritated,59
killing,87
despaired,69
adopt,19
converse,7
descend,126
dove,33
observe,19
publish,12
punch,33
recommend,23
resurrect,45
satisﬁed,30
shed,10
torment,69
undress,63
wail,90
widen,15
cloud,30
inhibit,103
rule,30
cope,35
define,10
borrow,56
slunk,9
maintain,45
gathering,76
peck,16
throbbing,54
waver,5
drowsiness,50
gauge,30
dispense,117
heat,57
painting,76
time,57
fax,30
console,54
grade,12
specialize,117
distinguish,10
envision,98
faltering,57
glean,10
surprise,20
track,57
tread,89
aford,30
crumble,5
divert,72
forge,45
handing,107
mark,21
measure,30
muddle,20
plummet,2
sabotage,3
spare,20
sufering,30
tidy,20
dignify,68
involve,19
writhing,90
reprimand,8
model,76
splay,111
contemplate,98
dares,20
embroider,94
gawk,53
honey,99
jumpy,59
leafs,54
lingering,120
note,8
pare,31
sap,20
sketching,76
suit,30
urge,23
