word,cluster
develop,401
developing,13
development,13
deviate,402
deviation,402
device,364
devise,401
devote,433
devotion,453
devour,93
deﬁance,18
deﬁe,18
deﬁlement,18
deﬂecte,18
diagnose,421
diagnosis,421
dial,343
dialect,261
diaper,378
diary,40
dice,462
dick,149
dictate,402
dictionary,160
die,174
difference,489
dig,82
digest,93
dignify,486
dignity,292
diminish,487
din,19
dinner,332
dip,106
direct,18
direction,445
directory,40
disabuse,392
disadvantaged,250
disagree,240
disappear,487
disappearance,243
disappoint,34
disappointment,413
disapproval,39
disapprove,207
disarm,418
disassociate,470
disastrous,0
disbelief,72
discard,82
discern,470
discharge,437
discipline,172
disclose,173
discomfort,257
disconnect,445
discontent,413
discourage,49
discover,27
discovery,429
discuss,29
discussion,29
disdain,39
disease,122
disembark,346
disembarking,346
disengage,418
disgrace,292
disguise,287
disgust,413
dish,26
dishonor,292
disinter,418
dislike,207
dismantle,401
dismay,72
dismiss,392
disobey,60
disorient,353
disown,81
disparage,200
dispatch,343
dispense,367
display,30
displease,483
displeasure,413
disposal,18
disregard,280
disrespect,39
dissolve,401
dissuade,49
distance,429
distaste,39
distinguish,470
distract,55
distraction,257
distraught,357
distress,257
distribute,367
district,184
distrust,36
disturb,119
disﬁgure,18
disﬁgurement,18
ditch,445
divert,333
division,18
divorce,260
divulge,173
dizzy,208
do,266
doctor,59
document,437
dodge,428
dog,38
doing,489
dois,430
doll,52
dollar,425
domain,40
dominate,340
don,223
doodle,391
doom,393
door,242
doorbell,343
doorframe,242
doorstep,18
doorway,242
dope,149
dorm,69
dormitory,69
dosage,213
dose,213
dossier,437
dot,395
dou,48
double,18
doubt,240
doubtful,363
douse,333
dove,164
down,18
downfall,374
download,40
downstair,18
dowry,187
doze,102
draft,437
drag,82
dragon,176
drain,445
drank,114
drape,335
draw,377
drawer,35
drawing,18
drawl,261
dread,25
dream,431
dredge,474
drench,302
dress,212
dresser,35
dressmaker,335
dribble,506
drift,300
drill,429
drink,210
drive,377
driver,161
driveway,58
drone,460
drool,256
droop,384
drop,106
dropping,106
drown,174
drowsiness,92
drum,11
dry,232
du,373
duck,176
duct,503
dudou,18
dull,398
dump,82
dumpling,26
dunno,149
dust,429
dutch,1
duty,18
dwell,280
dwindle,487
dye,341
e,430
eager,363
eagerness,411
eagle,258
ear,228
earbud,381
eardrum,228
earlobe,192
early,18
earn,367
earning,18
earplug,364
earring,54
earthness,218
ease,224
easel,112
easy,398
eat,93
eaten,93
eating,93
eavesdrop,83
echo,285
eczema,158
edfred,18
edge,318
edit,308
editor,394
educate,27
education,250
effect,445
effort,13
effortlessness,264
efort,18
egg,22
ego,90
either,18
eject,418
elaborate,173
elate,34
elation,255
elbow,117
elder,162
elect,367
elegance,264
element,218
elude,428
email,343
embark,377
embarrass,73
embarrassment,118
embellish,285
embezzle,171
embodiment,393
embrace,12
embroider,31
embroidery,31
emerge,345
emit,471
emotion,76
empathy,263
emperor,314
emphasize,3
employ,367
employee,508
employer,508
employment,508
empower,367
emptiness,311
empty,429
enable,367
enchantment,264
enclose,429
encounter,377
encourage,150
encouragement,453
end,18
endure,220
enemy,393
energy,18
enfold,429
engage,367
engagement,13
english,1
englishman,430
engross,34
engulf,315
enjoy,41
enjoyed,41
enjoyment,255
enlist,367
enough,266
enquire,40
enrage,126
enrol,430
enroll,299
enrollment,299
enshroud,429
enslave,174
ensure,367
enter,418
entertain,34
entertainer,270
entertaining,398
enthral,18
enthusiasm,221
entice,150
entire,18
entitle,370
entourage,136
entrance,242
entreaty,218
entrust,367
entry,18
enunciate,285
envelop,429
envious,357
envisage,297
envision,297
envy,39
equipment,18
equivocate,388
erase,310
eraser,112
err,388
errand,58
erupt,315
escape,428
escapee,89
escort,136
essay,37
essence,393
establish,401
estimate,84
estimation,440
etch,82
ethnicity,154
evacuate,267
evade,428
evening,306
evict,369
ex,136
exaggerate,280
exam,250
examine,424
example,18
exasperate,483
excel,116
exception,18
exchange,289
excite,34
excitement,221
exclaim,452
exclude,74
excursion,193
excuse,426
execute,367
executive,394
exercise,18
exert,333
exhale,80
exhaust,455
exhausted,190
exhibit,30
exhibition,30
exhilarate,34
exile,418
exist,74
existence,393
exit,445
expand,211
expect,84
expectation,84
expedition,193
expel,369
expend,433
expense,18
experience,116
experienced,18
expertise,116
explain,27
explanation,426
explode,315
exploration,429
explore,424
expose,333
expound,29
express,285
expression,218
expressionless,354
extend,211
extension,13
exterior,493
extract,50
extricate,428
exude,285
eye,228
eyeball,228
eyebrow,196
eyed,429
eyeglass,52
eyelash,414
eyelid,414
eyeliner,56
eyetooth,18
eﬀort,18
facade,493
face,377
factor,426
factory,124
fade,345
fail,266
failing,115
failure,115
faint,429
faith,453
fake,18
fall,106
falter,300
faltering,300
fame,393
family,162
famish,18
fan,489
fancy,398
fang,176
fantasize,431
fare,18
fascinate,350
fascination,130
fashion,335
fasten,82
fate,5
father,162
fathom,231
fatigue,257
fault,2
favor,18
favorite,398
favourite,415
fax,343
fear,25
fearless,172
feature,18
fecklessness,143
fee,289
feed,93
feeding,93
feel,489
feeling,489
feign,81
feint,218
felt,489
femininity,264
fence,242
fend,333
ferment,344
ferocity,172
ferry,474
fertile,398
festival,30
fetch,289
fever,490
fiancé,326
fictionalize,388
fiddle,70
fidget,78
field,318
fiend,393
fifth,18
fifty,18
fight,101
figure,18
file,40
fill,170
film,366
financial,479
find,27
fine,398
finger,475
fingernail,475
fingerprint,112
fingertip,475
fingertips,475
finish,377
fire,349
firm,18
first,18
firstborn,162
fish,176
fist,196
fit,367
fix,401
fixate,280
flag,504
flail,78
flank,318
flap,491
flash,445
flashlight,372
flat,18
flatten,82
flatter,398
flaw,396
fle,430
flee,428
flesh,393
flgge,18
flick,366
flight,465
flinch,256
fling,365
flip,445
flirt,365
flirtation,365
float,445
flock,429
flood,429
floor,242
flop,462
flounce,335
flourish,344
flow,445
flower,214
fluency,160
fluent,160
flush,445
fluster,416
flutter,78
flw,18
fly,377
foaming,341
focus,449
fold,18
folder,40
folk,11
follow,377
follower,136
fondness,130
food,22
fool,388
foot,504
footed,318
footfall,227
footing,445
footlocker,71
footprint,13
footstep,429
forbid,49
force,18
forearm,117
forefinger,475
forehead,196
foresee,84
foresight,172
forest,429
foreﬁnger,18
forfeit,327
forgave,245
forge,401
forget,388
forgive,245
forgiveness,245
forgo,418
forgot,388
fork,504
form,18
fortify,6
fortune,393
forty,18
forward,18
fountain,181
fox,507
fragility,2
fragrance,153
fragrant,214
frame,504
française,373
freak,489
freckle,439
free,18
freedom,393
freeze,438
french,1
frequent,18
fret,134
fridge,503
friend,136
friendship,453
frighten,73
frightened,357
fringe,18
frolic,480
front,18
frown,229
froze,438
frustrate,333
frustration,413
fry,148
fu,48
fuck,149
full,18
fullness,264
fumble,246
fume,238
function,18
fund,479
funeral,96
fur,335
furious,357
furnishing,18
furniture,62
fury,131
fuss,388
fussy,398
future,5
g,48
gabbe,430
gabble,78
gag,43
gain,367
gait,407
gall,388
gallery,30
gamble,462
gambler,462
game,318
gang,243
gap,445
garden,214
garment,335
gasp,43
gate,242
gather,377
gathering,18
gauge,424
gawk,157
gaze,408
gear,504
gender,154
general,18
generosity,453
generous,398
genital,188
genius,116
german,1
gesture,218
get,377
getting,489
ghost,393
gibe,142
giddiness,311
giddy,255
gift,393
giggle,43
gingerroot,477
girl,89
girlfriend,326
girlhood,209
girlishness,264
gist,40
gitane,430
gitanes,430
give,367
glance,157
glare,408
glass,181
glean,27
glee,255
gleefully,43
glide,480
glimpse,157
glinting,283
gloom,191
glory,255
gloss,493
glove,504
glow,283
glowed,450
glower,78
glue,504
gmail,1
go,377
goad,50
goal,318
gobble,93
god,393
goddaughter,162
going,489
gold,324
gone,164
good,489
goodbye,418
goodness,393
google,1
gorge,429
gossip,133
got,489
gouge,82
govern,401
government,437
gown,212
grab,82
grace,172
grade,184
graduate,299
graduation,299
grain,22
grammar,160
grandchild,20
granddad,271
granddaughter,20
grandfather,20
grandma,271
grandmother,20
grandniece,20
grandparent,271
grandson,20
grant,437
grape,477
grapple,297
grasp,231
gratify,34
gratitude,453
grave,393
graze,480
green,395
greet,29
greeting,43
grief,76
grievance,437
grieve,259
grill,148
grimace,229
grin,229
grind,300
grindstone,489
grip,504
grit,172
groan,238
grocery,124
groggily,78
groin,117
groom,476
grope,365
ground,429
groundwork,13
group,18
grow,211
growl,19
grudge,207
grumble,238
grunt,78
guard,318
guess,489
guest,136
guide,40
guilt,311
guilte,18
gullet,122
gulp,360
gum,477
gun,233
gush,312
gut,122
guzzle,360
habit,393
hack,82
hackle,335
had,18
hadn,382
haggle,388
hail,429
hair,151
hairbrush,52
haircut,165
hairline,389
hairstyle,165
hall,137
hallucinate,208
halt,121
hamper,119
hamstring,117
hand,504
handbag,194
handcuff,17
handed,377
handful,18
handicap,18
handing,377
handiwork,393
handkerchief,97
handle,377
handler,136
handmaid,393
handprint,112
handwriting,47
hang,82
hangout,137
happen,489
happiness,255
happy,489
harbor,474
hard,489
harden,6
hardworke,18
harm,174
harsh,357
harshness,218
harvest,22
haste,411
hasten,333
hat,185
hate,469
hatred,36
haughtiness,110
haul,82
haunch,504
haunt,345
have,18
hayami,430
hazard,257
haze,429
he,18
head,394
headache,257
headband,185
headboard,62
headdress,212
headfirst,100
headlong,300
headmistress,184
headphone,381
headquarter,137
headquarters,137
heal,482
health,18
heap,82
hear,27
hearing,29
heart,122
heartache,76
heartbeat,122
heartstring,218
heat,232
heave,397
heavy,18
heavyhandedness,18
heed,280
heel,94
height,18
heime,18
heir,314
helmet,185
help,367
helplessness,311
hemorrhage,122
heping,277
her,89
herb,477
herd,507
heritage,87
heroine,498
hesitance,411
hesitancy,411
hesitate,388
hesitation,411
hibernation,313
hiccup,2
hide,287
high,18
hike,106
himalayan,430
hint,218
hip,94
hire,367
hiss,19
history,18
hit,445
hitch,445
hitching,82
hoard,289
hoarse,190
hobble,225
hoist,82
hold,377
hole,429
holler,452
home,137
homeland,393
homesick,190
hometown,162
homework,184
honey,477
honk,452
honor,415
honour,415
hood,504
hoodie,185
hook,82
hop,480
hope,489
hopefulness,311
horizon,429
hork,18
horrify,126
horror,366
horse,507
hospitable,398
hospital,59
host,377
hostess,326
hostility,36
hotel,137
hound,507
hour,306
house,137
housedress,179
household,18
housekeeper,186
housekeeping,508
housemate,326
hover,345
howl,67
hua,277
huddle,318
huff,78
hug,43
hui,277
hulije,18
hum,19
humble,398
humiliate,73
humiliation,118
humor,296
hunch,146
hunger,311
hungry,357
hunt,338
hurl,82
hurry,489
hurt,225
hurtle,480
husband,162
hush,189
hustle,172
hydrangea,214
hyper,218
hypothesis,146
i,1
idea,146
identify,478
identity,120
identiﬁe,18
identiﬁer,18
idle,18
idolize,371
ignite,315
ignorance,143
ignore,280
ill,357
illness,257
image,104
imagination,221
imagine,231
imagining,489
imago,430
imbue,285
imitate,435
immaturity,143
immerse,481
immigrate,222
immobilize,174
impact,74
impatience,413
impatient,190
impede,119
impersonate,65
imploding,300
implore,168
imply,74
importance,221
important,398
impress,34
impressed,398
impression,146
impressive,398
imprison,183
imprisonment,183
